ID,Final title,Source time range,Notes
1,Class Goal: Build 1000+ Correct Sentences from One Structure,00:01:49–00:03:54,Optional intro module.
2,Sentence Pattern: What Makes a Sentence Work?,00:03:57–00:05:58,Good conceptual setup.
3,Subject + Verb + Object: The Skeleton of English,00:06:09–00:13:07,Core lesson.
4,"Subject, Noun, and Pronoun",00:13:36–00:24:55,Cut noise around 00:19:00–00:19:25.
5,Verb and Object: Why Every Sentence Needs a Verb,00:25:18–00:31:39,Strong core lesson.
6,English vs Bangla Sentence Order,00:31:39–00:34:25,Essential for Bangladeshi students.
7,Common Mistakes with Word Order,00:34:34–00:41:39,Remove confusing “often” section after this.
8,SVO Practice: Make Your Own Sentences,00:43:35–00:48:32,Add overlay: “Structure correct ≠ meaning logical.”
9,Finding SVO in a Real Passage,00:49:01–01:03:48,Divide into smaller internal chapters if possible.
10,How to Correct Your Own Sentences,01:03:58–01:13:39,Very important module.
11,Correction Practice: Rearranging a Bad Sentence,01:14:23–01:17:24,Cut the tangent.
12,Homework and Next Steps,01:18:47–01:25:32,Re-edit; avoid PDF-download guidance.
31,“বাংলা থেকে Direct Translate করলে English ভুল হয় কেন?”,00:31:39–00:34:25,Best overall social clip. Very relatable.
32,“He speaks very well English — ভুলটা কোথায়?”,00:34:34–00:37:20,Very strong. Use text overlay with correct/incorrect versions.
33,“Verb ছাড়া Sentence হয় না”,00:28:27–00:29:32,"Below your 2-minute range, but very strong reel material."
34,“Verb হলো Sentence-এর Engine”,00:25:18–00:31:39,Works as educational long-form social clip.
35,“নিজের English Sentence নিজেই Correct করার ৩-Step Method”,01:03:58–01:08:43,Very strong for serious learners.
36,“Homework by me yesterday was finished late — ঠিক করবেন কীভাবে?”,01:08:52–01:13:39,Good transformation clip.
37,“Wrong Complex Sentence-এর চেয়ে Correct Simple Sentence ভালো”,01:12:24–01:12:59,"Excellent short reel, but below your requested length."
38,“Movie very good last night we watch — ঠিক English কী?”,01:14:23–01:17:24,Remove 01:14:31–01:15:25.
39,“Movie দেখে English শেখার Smart Way”,01:23:25–01:25:32,Good soft promotional/learning philosophy clip.
30,“Grammar একসাথে সব শিখতে গেলে ভয় লাগে”,00:21:30–00:22:30,"Strong educational philosophy clip, but under 2 minutes."
